id,name,air_date
1,Pilot,"December 2, 2013"
2,Lawnmower Dog,"December 9, 2013"
3,Anatomy Park,"December 16, 2013"
4,M. Night Shaym-Aliens!,"January 13, 2014"
5,Meeseeks and Destroy,"January 20, 2014"
6,Rick Potion #9,"January 27, 2014"
7,Raising Gazorpazorp,"March 10, 2014"
8,Rixty Minutes,"March 17, 2014"
9,Something Ricked This Way Comes,"March 24, 2014"
10,Close Rick-counters of the Rick Kind,"April 7, 2014"
11,Ricksy Business,"April 14, 2014"
12,A Rickle in Time,"July 26, 2015"
13,Mortynight Run,"August 2, 2015"
14,Auto Erotic Assimilation,"August 9, 2015"
15,Total Rickall,"August 16, 2015"
16,Get Schwifty,"August 23, 2015"
17,The Ricks Must Be Crazy,"August 30, 2015"
18,Big Trouble in Little Sanchez,"September 13, 2015"
19,Interdimensional Cable 2: Tempting Fate,"September 20, 2015"
20,Look Who's Purging Now,"September 27, 2015"
21,The Wedding Squanchers,"October 4, 2015"
22,The Rickshank Rickdemption,"April 1, 2017"
23,Rickmancing the Stone,"July 30, 2017"
24,Pickle Rick,"August 6, 2017"
25,Vindicators 3: The Return of Worldender,"August 13, 2017"
26,The Whirly Dirly Conspiracy,"August 20, 2017"
27,Rest and Ricklaxation,"August 27, 2017"
28,The Ricklantis Mixup,"September 10, 2017"
29,Morty's Mind Blowers,"September 17, 2017"
30,The ABC's of Beth,"September 24, 2017"
31,The Rickchurian Mortydate,"October 1, 2017"
32,"Edge of Tomorty: Rick, Die, Rickpeat","November 10, 2019"
33,The Old Man and the Seat,"November 17, 2019"
34,One Crew Over the Crewcoo's Morty,"November 24, 2019"
35,Claw and Hoarder: Special Ricktim's Morty,"December 8, 2019"
36,Rattlestar Ricklactica,"December 15, 2019"
37,Never Ricking Morty,"May 3, 2020"
38,Promortyus,"May 10, 2020"
39,The Vat of Acid Episode,"May 17, 2020"
40,Childrick of Mort,"May 24, 2020"
41,Star Mort: Rickturn of the Jerri,"May 31, 2020"
42,Mort Dinner Rick Andre,"June 20, 2021"
43,Mortyplicity,"June 27, 2021"
44,A Rickconvenient Mort,"July 4, 2021"
45,Rickdependence Spray,"July 11, 2021"
46,Amortycan Grickfitti,"July 18, 2021"
47,Rick & Morty's Thanksploitation Spectacular,"July 25, 2021"
48,Gotron Jerrysis Rickvangelion,"August 1, 2021"
49,Rickternal Friendshine of the Spotless Mort,"August 8, 2021"
50,Forgetting Sarick Mortshall,"September 5, 2021"
51,Rickmurai Jack,"September 5, 2021"
